internship_id,title,required_skills,domain,min_age,max_age,stipend,remote,capacity,org_pref_govt,ministry,state,csr_underprivileged_pct,description,job_text
I00030,Marketing Intern,"c++, docker, powerbi",Marketing,18,35,5000,1,3,0,MeitY,Punjab,0.0,"c++, docker, powerbi - Work on Marketing projects; stipend 5000","c++, docker, powerbi Marketing stipend:5000"
I00031,Finance Intern,"kubernetes, matlab, python, tableau",Finance,18,28,5000,1,4,0,Ministry of Culture,Maharashtra,0.05,"kubernetes, matlab, python, tableau - Work on Finance projects; stipend 5000","kubernetes, matlab, python, tableau Finance stipend:5000"
I00032,Frontend Design Intern,"kubernetes, matlab",Frontend Design,18,25,20000,1,2,0,NITI Aayog,Kerala,0.1,"kubernetes, matlab - Work on Frontend Design projects; stipend 20000","kubernetes, matlab Frontend Design stipend:20000"
I00033,Mobile Intern,"excel, ux, react, sql",Mobile,18,35,15000,0,4,0,ICAR,Telangana,0.1,"excel, ux, react, sql - Work on Mobile projects; stipend 15000","excel, ux, react, sql Mobile stipend:15000"
I00034,Mobile Intern,"aws, gcp, kubernetes",Mobile,18,22,10000,1,2,0,MeitY,Tamil Nadu,0.2,"aws, gcp, kubernetes - Work on Mobile projects; stipend 10000","aws, gcp, kubernetes Mobile stipend:10000"
I00035,Finance Intern,"python, figma, deep learning, computer vision",Finance,18,22,10000,0,1,0,MeitY,Karnataka,0.05,"python, figma, deep learning, computer vision - Work on Finance projects; stipend 10000","python, figma, deep learning, computer vision Finance stipend:10000"
I00036,Backend Development Intern,"ux, figma, java",Backend Development,18,30,8000,0,2,0,MoE,Punjab,0.05,"ux, figma, java - Work on Backend Development projects; stipend 8000","ux, figma, java Backend Development stipend:8000"
I00037,Finance Intern,"react, excel, css",Finance,18,30,10000,0,1,0,MoE,Karnataka,0.05,"react, excel, css - Work on Finance projects; stipend 10000","react, excel, css Finance stipend:10000"
I00038,Finance Intern,"figma, android",Finance,18,35,8000,0,2,0,NITI Aayog,Gujarat,0.0,"figma, android - Work on Finance projects; stipend 8000","figma, android Finance stipend:8000"
I00039,Marketing Intern,"nodejs, html, css, excel",Marketing,18,30,15000,0,1,0,Ministry of Culture,Rajasthan,0.2,"nodejs, html, css, excel - Work on Marketing projects; stipend 15000","nodejs, html, css, excel Marketing stipend:15000"
I00040,Data Science Intern,"fastapi, machine learning",Data Science,18,35,20000,0,3,1,MoE,Uttar Pradesh,0.0,"fastapi, machine learning - Work on Data Science projects; stipend 20000","fastapi, machine learning Data Science stipend:20000"
I00041,Product Intern,"gcp, tableau, computer vision, c++",Product,18,28,5000,0,2,0,MoE,Punjab,0.2,"gcp, tableau, computer vision, c++ - Work on Product projects; stipend 5000","gcp, tableau, computer vision, c++ Product stipend:5000"
I00042,Data Science Intern,"ios, sql, flask",Data Science,18,35,20000,0,2,0,MoE,Uttar Pradesh,0.0,"ios, sql, flask - Work on Data Science projects; stipend 20000","ios, sql, flask Data Science stipend:20000"
I00043,Product Intern,"gcp, machine learning",Product,18,30,10000,0,5,0,MoHFW,Tamil Nadu,0.0,"gcp, machine learning - Work on Product projects; stipend 10000","gcp, machine learning Product stipend:10000"
I00044,Frontend Design Intern,"spring, gcp, r",Frontend Design,18,25,8000,0,2,0,Ministry of Culture,Telangana,0.05,"spring, gcp, r - Work on Frontend Design projects; stipend 8000","spring, gcp, r Frontend Design stipend:8000"
I00045,DevOps Intern,"react, html",DevOps,18,25,20000,0,4,0,NITI Aayog,West Bengal,0.2,"react, html - Work on DevOps projects; stipend 20000","react, html DevOps stipend:20000"
I00046,DevOps Intern,"fastapi, deep learning, kubernetes",DevOps,18,22,10000,0,4,0,NITI Aayog,West Bengal,0.2,"fastapi, deep learning, kubernetes - Work on DevOps projects; stipend 10000","fastapi, deep learning, kubernetes DevOps stipend:10000"
I00047,Product Intern,"matlab, excel, deep learning, nlp",Product,18,28,10000,0,5,0,Ministry of Culture,Maharashtra,0.1,"matlab, excel, deep learning, nlp - Work on Product projects; stipend 10000","matlab, excel, deep learning, nlp Product stipend:10000"
I00048,Backend Development Intern,"css, business analysis, python, marketing",Backend Development,18,22,5000,0,1,0,MoE,West Bengal,0.0,"css, business analysis, python, marketing - Work on Backend Development projects; stipend 5000","css, business analysis, python, marketing Backend Development stipend:5000"
I00049,Backend Development Intern,"java, flask",Backend Development,18,28,20000,0,1,0,MoHFW,West Bengal,0.0,"java, flask - Work on Backend Development projects; stipend 20000","java, flask Backend Development stipend:20000"
I00050,Frontend Design Intern,"excel, react",Frontend Design,18,30,8000,0,3,0,ICAR,Rajasthan,0.2,"excel, react - Work on Frontend Design projects; stipend 8000","excel, react Frontend Design stipend:8000"
I00051,Mobile Intern,"nlp, finance",Mobile,18,28,8000,1,2,0,Ministry of Culture,Kerala,0.0,"nlp, finance - Work on Mobile projects; stipend 8000","nlp, finance Mobile stipend:8000"
I00052,Mobile Intern,"excel, graphql, python, spring",Mobile,18,22,8000,0,5,1,MeitY,Telangana,0.1,"excel, graphql, python, spring - Work on Mobile projects; stipend 8000","excel, graphql, python, spring Mobile stipend:8000"
I00053,Product Intern,"tableau, ux, java, graphql",Product,18,28,10000,0,5,0,NITI Aayog,Rajasthan,0.05,"tableau, ux, java, graphql - Work on Product projects; stipend 10000","tableau, ux, java, graphql Product stipend:10000"
I00054,Marketing Intern,"finance, business analysis",Marketing,18,30,5000,1,4,0,Ministry of Culture,Kerala,0.2,"finance, business analysis - Work on Marketing projects; stipend 5000","finance, business analysis Marketing stipend:5000"
I00055,Marketing Intern,"ux, css, html, gcp",Marketing,18,30,5000,0,2,0,Ministry of Culture,Karnataka,0.05,"ux, css, html, gcp - Work on Marketing projects; stipend 5000","ux, css, html, gcp Marketing stipend:5000"
I00056,Frontend Design Intern,"c++, deep learning",Frontend Design,18,22,8000,0,2,0,MoHFW,Uttar Pradesh,0.2,"c++, deep learning - Work on Frontend Design projects; stipend 8000","c++, deep learning Frontend Design stipend:8000"
I00057,Frontend Design Intern,"computer vision, fastapi, c++",Frontend Design,18,30,15000,0,1,0,NITI Aayog,Gujarat,0.05,"computer vision, fastapi, c++ - Work on Frontend Design projects; stipend 15000","computer vision, fastapi, c++ Frontend Design stipend:15000"
I00058,DevOps Intern,"flask, powerbi, nodejs, machine learning",DevOps,18,30,20000,0,2,0,MeitY,Maharashtra,0.0,"flask, powerbi, nodejs, machine learning - Work on DevOps projects; stipend 20000","flask, powerbi, nodejs, machine learning DevOps stipend:20000"
I00059,Finance Intern,"ios, react, figma",Finance,18,28,8000,0,1,0,Ministry of Culture,Punjab,0.0,"ios, react, figma - Work on Finance projects; stipend 8000","ios, react, figma Finance stipend:8000"
I00060,DevOps Intern,"r, machine learning, docker",DevOps,18,35,15000,0,2,0,Ministry of Culture,Tamil Nadu,0.05,"r, machine learning, docker - Work on DevOps projects; stipend 15000","r, machine learning, docker DevOps stipend:15000"
I00061,Data Science Intern,"machine learning, android",Data Science,18,28,20000,0,3,0,MeitY,Kerala,0.0,"machine learning, android - Work on Data Science projects; stipend 20000","machine learning, android Data Science stipend:20000"
I00062,Finance Intern,"excel, ux",Finance,18,30,20000,1,3,0,NITI Aayog,Uttar Pradesh,0.05,"excel, ux - Work on Finance projects; stipend 20000","excel, ux Finance stipend:20000"
I00063,Product Intern,"flask, python, aws",Product,18,28,10000,1,2,0,Ministry of Culture,Punjab,0.2,"flask, python, aws - Work on Product projects; stipend 10000","flask, python, aws Product stipend:10000"
I00064,Mobile Intern,"computer vision, excel, r, python",Mobile,18,30,15000,0,4,0,MoE,Maharashtra,0.0,"computer vision, excel, r, python - Work on Mobile projects; stipend 15000","computer vision, excel, r, python Mobile stipend:15000"
I00065,Product Intern,"react, flask, docker",Product,18,30,8000,0,3,1,ICAR,Telangana,0.0,"react, flask, docker - Work on Product projects; stipend 8000","react, flask, docker Product stipend:8000"
I00066,Data Science Intern,"python, android, figma, excel",Data Science,18,25,10000,1,3,0,Ministry of Culture,Maharashtra,0.0,"python, android, figma, excel - Work on Data Science projects; stipend 10000","python, android, figma, excel Data Science stipend:10000"
I00067,Mobile Intern,"css, r, spring",Mobile,18,28,5000,0,4,0,MoE,Tamil Nadu,0.2,"css, r, spring - Work on Mobile projects; stipend 5000","css, r, spring Mobile stipend:5000"
I00068,Backend Development Intern,"business analysis, ios, css, ux",Backend Development,18,28,15000,1,1,0,MoHFW,Gujarat,0.1,"business analysis, ios, css, ux - Work on Backend Development projects; stipend 15000","business analysis, ios, css, ux Backend Development stipend:15000"
I00069,DevOps Intern,"gcp, aws, android, kubernetes",DevOps,18,30,15000,1,5,0,MoHFW,Uttar Pradesh,0.1,"gcp, aws, android, kubernetes - Work on DevOps projects; stipend 15000","gcp, aws, android, kubernetes DevOps stipend:15000"
I00070,DevOps Intern,"python, nlp",DevOps,18,28,5000,0,2,0,Ministry of Culture,Uttar Pradesh,0.1,"python, nlp - Work on DevOps projects; stipend 5000","python, nlp DevOps stipend:5000"
I00071,Frontend Design Intern,"nodejs, marketing, machine learning, nlp",Frontend Design,18,22,8000,0,1,1,MoHFW,Kerala,0.2,"nodejs, marketing, machine learning, nlp - Work on Frontend Design projects; stipend 8000","nodejs, marketing, machine learning, nlp Frontend Design stipend:8000"
I00072,DevOps Intern,"excel, tableau",DevOps,18,25,8000,0,5,0,ICAR,West Bengal,0.05,"excel, tableau - Work on DevOps projects; stipend 8000","excel, tableau DevOps stipend:8000"
I00073,Mobile Intern,"spring, marketing, business analysis",Mobile,18,22,10000,1,5,0,MoHFW,Telangana,0.05,"spring, marketing, business analysis - Work on Mobile projects; stipend 10000","spring, marketing, business analysis Mobile stipend:10000"
I00074,Data Science Intern,"kubernetes, fastapi, deep learning, android",Data Science,18,25,15000,0,2,0,MoE,Karnataka,0.05,"kubernetes, fastapi, deep learning, android - Work on Data Science projects; stipend 15000","kubernetes, fastapi, deep learning, android Data Science stipend:15000"
I00075,DevOps Intern,"kubernetes, docker, nlp",DevOps,18,30,15000,0,1,0,MoHFW,Uttar Pradesh,0.1,"kubernetes, docker, nlp - Work on DevOps projects; stipend 15000","kubernetes, docker, nlp DevOps stipend:15000"
I00076,Backend Development Intern,"marketing, java, tableau, r",Backend Development,18,30,10000,0,4,0,MeitY,Kerala,0.1,"marketing, java, tableau, r - Work on Backend Development projects; stipend 10000","marketing, java, tableau, r Backend Development stipend:10000"
I00077,Frontend Design Intern,"java, deep learning, sales, kubernetes",Frontend Design,18,25,5000,0,5,0,Ministry of Culture,Maharashtra,0.05,"java, deep learning, sales, kubernetes - Work on Frontend Design projects; stipend 5000","java, deep learning, sales, kubernetes Frontend Design stipend:5000"
I00078,Backend Development Intern,"react, computer vision, ux, spring",Backend Development,18,30,8000,0,5,0,ICAR,Punjab,0.1,"react, computer vision, ux, spring - Work on Backend Development projects; stipend 8000","react, computer vision, ux, spring Backend Development stipend:8000"
I00079,Finance Intern,"python, react, css",Finance,18,35,10000,1,3,0,MoE,Punjab,0.1,"python, react, css - Work on Finance projects; stipend 10000","python, react, css Finance stipend:10000"
I00080,Product Intern,"python, docker, ux, excel",Product,18,25,15000,0,2,0,MeitY,Uttar Pradesh,0.1,"python, docker, ux, excel - Work on Product projects; stipend 15000","python, docker, ux, excel Product stipend:15000"
I00081,DevOps Intern,"python, marketing, gcp, excel",DevOps,18,30,15000,0,4,0,MoE,Karnataka,0.0,"python, marketing, gcp, excel - Work on DevOps projects; stipend 15000","python, marketing, gcp, excel DevOps stipend:15000"
I00082,Frontend Design Intern,"graphql, deep learning, machine learning, spring",Frontend Design,18,30,8000,0,5,0,MeitY,Rajasthan,0.05,"graphql, deep learning, machine learning, spring - Work on Frontend Design projects; stipend 8000","graphql, deep learning, machine learning, spring Frontend Design stipend:8000"
I00083,Mobile Intern,"nlp, business analysis, docker, gcp",Mobile,18,25,15000,1,1,0,NITI Aayog,West Bengal,0.2,"nlp, business analysis, docker, gcp - Work on Mobile projects; stipend 15000","nlp, business analysis, docker, gcp Mobile stipend:15000"
I00084,Data Science Intern,"fastapi, ux",Data Science,18,30,8000,0,1,0,Ministry of Culture,Kerala,0.2,"fastapi, ux - Work on Data Science projects; stipend 8000","fastapi, ux Data Science stipend:8000"
I00085,Product Intern,"computer vision, marketing",Product,18,22,8000,0,5,0,NITI Aayog,Tamil Nadu,0.0,"computer vision, marketing - Work on Product projects; stipend 8000","computer vision, marketing Product stipend:8000"
I00086,Backend Development Intern,"r, excel",Backend Development,18,30,8000,1,3,0,MoE,Maharashtra,0.2,"r, excel - Work on Backend Development projects; stipend 8000","r, excel Backend Development stipend:8000"
I00087,Mobile Intern,"excel, ios, sales, excel",Mobile,18,28,10000,0,4,0,Ministry of Culture,West Bengal,0.1,"excel, ios, sales, excel - Work on Mobile projects; stipend 10000","excel, ios, sales, excel Mobile stipend:10000"
I00088,Marketing Intern,"computer vision, flask",Marketing,18,28,8000,1,1,0,MoE,Gujarat,0.1,"computer vision, flask - Work on Marketing projects; stipend 8000","computer vision, flask Marketing stipend:8000"
I00089,Backend Development Intern,"css, marketing, java",Backend Development,18,35,8000,0,4,0,NITI Aayog,Kerala,0.1,"css, marketing, java - Work on Backend Development projects; stipend 8000","css, marketing, java Backend Development stipend:8000"
I00090,DevOps Intern,"excel, fastapi, computer vision",DevOps,18,22,8000,1,5,0,MoE,Punjab,0.1,"excel, fastapi, computer vision - Work on DevOps projects; stipend 8000","excel, fastapi, computer vision DevOps stipend:8000"
I00091,Marketing Intern,"c++, graphql, gcp",Marketing,18,25,8000,0,3,0,MoHFW,Karnataka,0.0,"c++, graphql, gcp - Work on Marketing projects; stipend 8000","c++, graphql, gcp Marketing stipend:8000"
I00092,Data Science Intern,"graphql, css, nlp",Data Science,18,25,5000,1,1,1,Ministry of Culture,Rajasthan,0.0,"graphql, css, nlp - Work on Data Science projects; stipend 5000","graphql, css, nlp Data Science stipend:5000"
I00093,Marketing Intern,"machine learning, html, css",Marketing,18,25,15000,0,4,0,NITI Aayog,Karnataka,0.05,"machine learning, html, css - Work on Marketing projects; stipend 15000","machine learning, html, css Marketing stipend:15000"
I00094,Finance Intern,"aws, excel, c++",Finance,18,25,15000,1,4,0,MoHFW,Rajasthan,0.2,"aws, excel, c++ - Work on Finance projects; stipend 15000","aws, excel, c++ Finance stipend:15000"
I00095,Finance Intern,"html, kubernetes, matlab, spring",Finance,18,28,5000,0,5,0,Ministry of Culture,Punjab,0.0,"html, kubernetes, matlab, spring - Work on Finance projects; stipend 5000","html, kubernetes, matlab, spring Finance stipend:5000"
I00096,Finance Intern,"r, figma, graphql, ux",Finance,18,22,8000,1,2,0,MoHFW,Uttar Pradesh,0.1,"r, figma, graphql, ux - Work on Finance projects; stipend 8000","r, figma, graphql, ux Finance stipend:8000"
I00097,Data Science Intern,"html, r, matlab",Data Science,18,30,15000,0,2,0,ICAR,Rajasthan,0.0,"html, r, matlab - Work on Data Science projects; stipend 15000","html, r, matlab Data Science stipend:15000"
I00098,DevOps Intern,"business analysis, c++, graphql, powerbi",DevOps,18,30,10000,1,3,0,MeitY,Rajasthan,0.2,"business analysis, c++, graphql, powerbi - Work on DevOps projects; stipend 10000","business analysis, c++, graphql, powerbi DevOps stipend:10000"
I00099,Frontend Design Intern,"ux, finance, sql",Frontend Design,18,35,8000,1,5,0,MoE,Kerala,0.1,"ux, finance, sql - Work on Frontend Design projects; stipend 8000","ux, finance, sql Frontend Design stipend:8000"
I00100,Marketing Intern,"excel, html, nlp, sales",Marketing,18,22,8000,0,3,0,MoE,Uttar Pradesh,0.05,"excel, html, nlp, sales - Work on Marketing projects; stipend 8000","excel, html, nlp, sales Marketing stipend:8000"
I00101,Frontend Design Intern,"powerbi, matlab, aws",Frontend Design,18,25,10000,0,5,0,NITI Aayog,Kerala,0.2,"powerbi, matlab, aws - Work on Frontend Design projects; stipend 10000","powerbi, matlab, aws Frontend Design stipend:10000"
I00102,Mobile Intern,"android, fastapi",Mobile,18,30,10000,1,2,0,MoHFW,Maharashtra,0.2,"android, fastapi - Work on Mobile projects; stipend 10000","android, fastapi Mobile stipend:10000"
I00103,Backend Development Intern,"html, gcp, computer vision",Backend Development,18,22,8000,1,3,0,NITI Aayog,Kerala,0.2,"html, gcp, computer vision - Work on Backend Development projects; stipend 8000","html, gcp, computer vision Backend Development stipend:8000"
I00104,Backend Development Intern,"fastapi, docker",Backend Development,18,25,8000,0,1,1,ICAR,Kerala,0.0,"fastapi, docker - Work on Backend Development projects; stipend 8000","fastapi, docker Backend Development stipend:8000"
I00105,DevOps Intern,"c++, react",DevOps,18,25,20000,0,5,0,Ministry of Culture,Kerala,0.0,"c++, react - Work on DevOps projects; stipend 20000","c++, react DevOps stipend:20000"
I00106,Backend Development Intern,"fastapi, react",Backend Development,18,22,15000,0,4,1,Ministry of Culture,Maharashtra,0.05,"fastapi, react - Work on Backend Development projects; stipend 15000","fastapi, react Backend Development stipend:15000"
I00107,Marketing Intern,"deep learning, matlab, spring, java",Marketing,18,25,15000,1,4,0,ICAR,Gujarat,0.0,"deep learning, matlab, spring, java - Work on Marketing projects; stipend 15000","deep learning, matlab, spring, java Marketing stipend:15000"
I00108,Marketing Intern,"r, sales",Marketing,18,22,10000,1,2,0,Ministry of Culture,Tamil Nadu,0.2,"r, sales - Work on Marketing projects; stipend 10000","r, sales Marketing stipend:10000"
I00109,DevOps Intern,"ios, powerbi, matlab, ux",DevOps,18,25,10000,0,1,0,MeitY,Telangana,0.1,"ios, powerbi, matlab, ux - Work on DevOps projects; stipend 10000","ios, powerbi, matlab, ux DevOps stipend:10000"
I00110,Data Science Intern,"r, android, flask",Data Science,18,35,10000,0,2,0,ICAR,West Bengal,0.0,"r, android, flask - Work on Data Science projects; stipend 10000","r, android, flask Data Science stipend:10000"
I00111,Frontend Design Intern,"sql, react, nodejs, gcp",Frontend Design,18,25,10000,1,2,0,MoE,Punjab,0.05,"sql, react, nodejs, gcp - Work on Frontend Design projects; stipend 10000","sql, react, nodejs, gcp Frontend Design stipend:10000"
I00112,Frontend Design Intern,"java, finance, business analysis",Frontend Design,18,22,5000,0,3,0,Ministry of Culture,Tamil Nadu,0.0,"java, finance, business analysis - Work on Frontend Design projects; stipend 5000","java, finance, business analysis Frontend Design stipend:5000"
I00113,Backend Development Intern,"docker, aws, finance, powerbi",Backend Development,18,35,15000,0,1,0,Ministry of Culture,Telangana,0.2,"docker, aws, finance, powerbi - Work on Backend Development projects; stipend 15000","docker, aws, finance, powerbi Backend Development stipend:15000"
I00114,Product Intern,"python, html, excel",Product,18,22,10000,0,2,0,ICAR,Telangana,0.2,"python, html, excel - Work on Product projects; stipend 10000","python, html, excel Product stipend:10000"
I00115,Data Science Intern,"graphql, powerbi, deep learning, finance",Data Science,18,25,20000,0,5,0,Ministry of Culture,Gujarat,0.0,"graphql, powerbi, deep learning, finance - Work on Data Science projects; stipend 20000","graphql, powerbi, deep learning, finance Data Science stipend:20000"
I00116,Frontend Design Intern,"fastapi, deep learning",Frontend Design,18,22,5000,0,4,0,Ministry of Culture,West Bengal,0.1,"fastapi, deep learning - Work on Frontend Design projects; stipend 5000","fastapi, deep learning Frontend Design stipend:5000"
I00117,Backend Development Intern,"finance, nodejs",Backend Development,18,35,15000,1,4,0,MeitY,Uttar Pradesh,0.2,"finance, nodejs - Work on Backend Development projects; stipend 15000","finance, nodejs Backend Development stipend:15000"
I00118,Product Intern,"business analysis, deep learning, computer vision",Product,18,22,10000,1,3,0,MoHFW,Uttar Pradesh,0.1,"business analysis, deep learning, computer vision - Work on Product projects; stipend 10000","business analysis, deep learning, computer vision Product stipend:10000"
I00119,Data Science Intern,"c++, gcp, aws, java",Data Science,18,30,10000,0,4,0,MeitY,Rajasthan,0.05,"c++, gcp, aws, java - Work on Data Science projects; stipend 10000","c++, gcp, aws, java Data Science stipend:10000"
I00120,Backend Development Intern,"finance, figma, excel, machine learning",Backend Development,18,28,15000,1,4,0,ICAR,Tamil Nadu,0.05,"finance, figma, excel, machine learning - Work on Backend Development projects; stipend 15000","finance, figma, excel, machine learning Backend Development stipend:15000"
I00121,Data Science Intern,"java, finance, tableau, graphql",Data Science,18,28,8000,0,4,0,MeitY,West Bengal,0.05,"java, finance, tableau, graphql - Work on Data Science projects; stipend 8000","java, finance, tableau, graphql Data Science stipend:8000"
I00122,Marketing Intern,"sales, sql, r, java",Marketing,18,30,20000,1,4,0,NITI Aayog,Tamil Nadu,0.0,"sales, sql, r, java - Work on Marketing projects; stipend 20000","sales, sql, r, java Marketing stipend:20000"
I00123,DevOps Intern,"css, figma, html",DevOps,18,35,8000,0,2,0,MeitY,Karnataka,0.1,"css, figma, html - Work on DevOps projects; stipend 8000","css, figma, html DevOps stipend:8000"
I00124,Data Science Intern,"gcp, nodejs, business analysis",Data Science,18,22,10000,0,2,0,MoHFW,Telangana,0.05,"gcp, nodejs, business analysis - Work on Data Science projects; stipend 10000","gcp, nodejs, business analysis Data Science stipend:10000"
I00125,DevOps Intern,"excel, react",DevOps,18,28,5000,0,3,0,MoHFW,Uttar Pradesh,0.0,"excel, react - Work on DevOps projects; stipend 5000","excel, react DevOps stipend:5000"
I00126,DevOps Intern,"sql, flask, finance, c++",DevOps,18,22,8000,0,4,0,NITI Aayog,Maharashtra,0.05,"sql, flask, finance, c++ - Work on DevOps projects; stipend 8000","sql, flask, finance, c++ DevOps stipend:8000"
I00127,DevOps Intern,"react, sql",DevOps,18,28,20000,0,1,0,MoHFW,Telangana,0.05,"react, sql - Work on DevOps projects; stipend 20000","react, sql DevOps stipend:20000"
